objectId,label
14256,Department Of Education
14259,Department of Fisheries
14257,Department Of Health
14260,Department of Industrial Promotion
14261,Department of Learning Encouragement
14229,DESTINATION PROPERTIES COMPANY LIMITED
14230,DHANARAK ASSETS DEVELOPMENT COMPANY LIMITED
14231,"DHARMSIRIRAT LAW CO.,LTD."
14232,DHURAKIJ PUNDIT UNIVERSITY
14233,DIAMOND BUILDING PRODUCTS PUBLIC COMPANY LIMITED
14234,DIAMOND CITY PRIVATE LIMITED COMPANY
14263,"Diethelm Travel (Myanmar) Co., Ltd."
14235,DIGITAL DOMAIN COMPANY LIMITED
14236,DIGITAL SCI TECHNOLOGY LIMITED PARTNERSHIP
14237,"DIGITAL WEALTH INFINITY CO., LTD."
14238,"DIGITAL WINNING CO., LTD."
14239,"DIGITALMEDIA OUTSOURCE SOLUTION CO.,LTD."
14240,"DINOQ CO., LTD."
14241,"DINSOR CREPTIVE CO., LTD."
14242,"DISTAR INTERNATIONAL CO., LTD."
14243,DIVINE DEVELOPMENT GROUP COMPANY LIMITED
14244,DKSH (THAILAND) LIMITED
14245,DOCTOR A TO Z COMPANY LIMITED
14246,DOHOME PUBLIC COMPANY LIMITED
14247,DONMUANG TOLLWAY COMPANY LIMITED
14248,DOUBLE PINE COMPANY LIMITED
14249,"DOUBLE T ONLINE CO.,LTD."
14250,DOWA METALS & MINING (THAILAND) COMPANY LIMITED
14251,DPLUS INTERTRADE COMPANY LIMITED
14252,DREAM TOY COMPANY LIMITED
14253,DREAMLAND PROPERTY COMPANY LIMITED
26818,DRUG CARE LIMITED
14254,DTH TRAVEL MANAGEMENT LIMITED
26842,"DUCKING CO.,LTD"
14255,DYNAMIC MOTOR (THAILAND) COMPANY LIMITED
14264,E FOR L AIM PUBLIC COMPANY LIMITED
14265,"E MONEY CO.,LTD."
14266,"E-BUSINESS PLUS CO., LTD."
14267,"E-SOUARE ENVIRONMENT & ENGINEERING CO., LTD."
14268,"E.C.T. PROFESSIONAL CO.,LTD."
14269,"EAGLE TECHNOLOGY CO., LTD."
14270,"EASY RICE DIGITAL TECHNOLOGY CO., LTD."
14271,ECONOLODGE COMPANY LIMITED
14272,"EDDU GROUP INTERNATIONAL CO., LTD."
14273,EDISPRO ACTIVE COMPANY LIMITED
14274,ELA (THAILAND) COMPANY LIMITED
14294,Electrical and Electronics Institute
14275,ELEMENT 72 COMPANY LIMITED
14276,EMBRYO PLANET COMPANY LIMITED
14277,"ENERGY ABSOLUTE CORPORATION CO., LTD."
14278,"ENSOLA INTELLIGENT CO., LTD."
14279,"ENSYS CO., LTD."
14280,ENTECH INDUSTRIAL SOLUTION COMPANY LIMITED
14281,"ENTERPRISE COMPUTER SYSTEMS (THAILAND) CO., LTD."
14282,EO LIFEMED COMPANY LIMITED
14283,EPICURE CATERING COMPANY LIMITED
26944,equitable education fund (eef)
14284,"ERAWAN HITECH CO., LTD."
14295,"Erawan Philippines (Ermita), Inc."
14285,"ESCOPOLIS CO., LTD"
14286,EURO P2P DIRECT (THAILAND) COMPANY LIMITED
14296,Euroasia Total Logistics Public Company Limited
14287,EUROTEC NUTRITION INTERNATIONAL COMPANY LIMITED
14288,EVE LIGHTING COMPANY LIMITED
14289,EVENT POP Company Limited.
14290,EWT Joint Venture
14291,EXEO ASIA COMPANY LIMITED
14292,EXION(THAILAND) COMPANY LIMITED
14297,Export-Import Bank of Thailand (EXIM Thailand)
14298,Expressway Authority of Thailand (EXAT)
14293,"EXVENTION CO., LTD."
14324,Faculty of Pharmaceutical Sciences (Ubon Ratchathani University)
14299,"FALRTEX EQULPMENT CO., LTD."
14300,FAVOURITE DESIGN LIMITED PARTNERSHIP
14301,"FCC SERVICES CO., LTD."
24697,FDC MARKETING COMPANY LIMITED
14325,Federation of Accounting Professions
14302,FIBERHOME INTERNATIONAL (THAILAND) COMPANY LIMITED
14303,FILLER VISION PUBLIC COMPANY LIMITED
14326,"Fine Components (Thailand) Co., Ltd."
14304,"FIRST HOUSE CO., LTD."
14305,FIRST TECHNOLOGY COMPANY LIMITED
14306,FLORAL MANUFACTURING GROUP COMPANY LIMITED
14307,"FLOW DIGITAL CO., LTD."
14308,FLOYD PUBLIC COMPANY LIMITED
14309,"FOCUZ MANUFACTURING CO., LTD."
14310,"FONGNOT CO., LTD."
14311,FOOD PROJECT (SIAM) COMPANY LIMITED
14312,"FOOD VILLAGES CO., LTD."
14313,FOODXCITE COMPANY LIMITED
14314,"FOOKTIEN GROUP CO.,LTD."
14315,FORTUNE CROSS (THAILAND) COMPANY LIMITED
24531,FORTUNE PARTS INDUSTRY PUBLIC COMPANY LIMITED
14317,FOUNDATION FOR THE EMPLOYMENT PROMOTION OF THE BLIND
14318,FREEDOM SOLUTION 2024 COMPANY LIMITED
14319,"FREEWAVE TECHNOLOGY CO., LTD."
14320,FROG DIGITAL GROUP COMPANY LIMITED
14321,"FUJI SEAL PACKAGING (THAILAND) CO., LTD."
26060,"FUJIPOLY ( Thailand ) Co., Ltd."
14322,FUJITRANS (THAILAND) COMPANY LIMITED
14327,Fund Insurance
14323,"FURRING LINE QUALITY CO., LTD."
21275,G GRATITUDE COMPANY LIMITED
14328,G GRATITUDE COMPANY LIMITED
14329,"G RAPHIC AS A SERVICE CO., LTD."
14330,"G-TECH&APPLICATION CO., LTD."
14331,G.P.AUTO PARTS COMPANY LIMITED
14332,"GATEAUX HOUSE CO., LTD."
14333,GCAP COMPANY LIMITED
14334,"GEARINC SERVICES (THAILAND) CO., LTD."
14335,"GEN PLAY CO., LTD."
14336,GENE AGNOSTIC COMPANY LIMITED
14337,GENERAL ENGINEERING PUBLIC COMPANY LIMITED
14338,"GENERAL HOSPITAL PRODUCTS CO., LTD."
14339,GENERAL INSURANCE FUND
14340,GENERAL NIPPON CONCRETE INDUSTRIES COMPANY LIMITED
14341,"GENOTEQ CORPORATION CO., LTD."
14342,"GIDEON ONE CO., LTD."
14343,GIGA GAMES COMPANY LIMITED
14344,GK BEAUTY COMPANY LIMITED
14345,GLOBAL ECO-CAN STOCK(THAILAND) COMPANY LIMITED
14346,"GLOBE TECH CO.,LTD."
14347,GLOBLEX SECURITIES COMPANY LIMITED
14348,GLORY FOREVER PUBLIC COMPANY LIMITED
14349,"GLOVE TEX CO., LTD."
14350,GLOW ENERGY PUBLIC COMPANY LIMITED
14351,GMO-Z COM (THAILAND) COMPANY LIMITED
14352,GOODPACK MANUFACTURING COMPANY LIMITED
14353,"GOTEL CO.,LTD."
14354,GP MOTOR (THAILAND) COMPANY LIMITED
14355,GP PARTS & SERVICE COMPANY LIMITED
14356,GRAND COS GROUP COMPANY LIMITED
14357,GREAT CORNER INVENT TECH COMPANY LIMITED
14358,"GREEN INDUSTRY SERVICE CO., LTD."
14364,Greenspot Company Limited
14359,GROHE SIAM LIMITED
14360,"GUALITY CARTOURS CO., LTD."
14361,GUNKUL WIND DEVELOPMENT 1 COMPANY LIMITED
14362,GUTS SUPERPOLS COMPANY LIMITED
24695,GYPMAN TECH COMPANY LIMITED
14363,"GYRO LUCKY CO.,LTD."
14365,HACO GROUP (1991) COMPANY LIMITED
14366,"HAIGH STANDARD INTERNATIONAL COUSL TANT CO.,LTD."
14367,HANKYU HANSHIN EXPRESS(THAILAND) COMPANY LIMITED
14368,HAPPY BAD DOG COMPANY LIMITED
14369,HARDWARE KING COMPANY LIMITED
14370,HARKIRAN COMPANY LIMITED
14371,HAST LOGISTICS COMPANY LIMITED
14390,Hastin School
14391,Health BMA
14372,HEALTH EMPIRE CORPORATION PUBLIC COMPANY LIMITED
14373,"HEALTH SOCIETY CO.,LTD."
14374,HEALTHLAND GROUP COMPANY LIMITED
14375,HENG HENG PICO BANGKOK COMPANY LIMITED
14376,HERITAGE ESTATE COMPANY LIMITED
14377,"HI-TOP TECHNOLOGY CO.,LTD."
14378,HILDING ANDERS (THAILAND) COMPANY LIMITED
14379,HINO MOTORS SALES (THAILAND) LIMITED
14380,HITACHI INDUSTRIAL TECHNOLOGY (THAILAND) LIMITED
14381,HITACHI SUNWAY INFORMATION SYSTEMS (THAILAND) LTD.
14382,HKT AUTO PARTS (THAILAND) COMPANY LIMITED
14392,"Hong Kong Gaokai International Trade Co., Ltd."
14383,"HOTEL MANHATTAN CO., LTD."
14384,HUA SENG HENG COMMODITAS COMPANY LIMITED
14393,Huachiew TCM Clinic
14385,"HUALANJAIROI CO., LTD."
14386,HUGCODE COMPANY LIMITED
14387,HUGS INSURANCE BROKER COMPANY LIMITED
14388,HUMAN CENTRIC COMPANY LIMITED
14389,"HYDROQUIP CO., LTD."
14394,I ASSIST CORPORATION COMPANY LIMITED
14395,"I WORLD CO., LTD."
14396,I-DIN NINTH COMPANY LIMITED
26892,I-DIRECT INSURANCE BROKER COMPANY LIMITED
14397,I-SECURE COMPANY LIMITED
14398,"I-WIZ TECH CO., LTD."
14399,"I.C.P. CHEMICALS CO., LTD."
14400,"I.N.N.RUAM DUAY CHUAY KAN CO., LTD."
14401,I3 GATEWAY COMPANY LIMITED
14402,IBC INDUSTRIAL COMPANY LIMITED
14403,"ICARE HEALTH CO., LTD."
14404,ICBC (THAI) LEASING COMPANY LIMITED
14405,ICHITAN GROUP PUBLIC COMPANY LIMITED
14406,IDP EDUCATION SERVICES COMPANY LIMITED
14407,IETL COMPANY LIMITED
14408,IMAS INNOVATION AND CONSULTING COMPANY LIMITED
14409,IMC 1994 COMPANY LIMITED
14410,"IMMS CO.,LTD."
14411,INDEX CREATIVE VILLAGE PUBLIC COMPANY LIMITED
14412,"INDEX INTERFURN CO.,LTD."
14413,INDEX LIVING MALL PUBLIC COMPANY LIMITED
14414,INDORAMA VENTURES PUBLIC COMPANY LIMITED
14441,Industrial Estateauthority of Thailand Saving and Credit Cooperative Limited
14442,Industrial Foundation Electrical and Electronic Institute
14415,INDY SOFT COMPANY LIMITED
26057,"INFINITE AUTOMOBILE CO., LTD."
14416,INFINITE REAL ESTATE COMPANY LIMITED
14417,"INN CONNEX CO., LTD."
14418,"INNO HOSPITAL CO., LTD."
14419,INNOVATION PLUS COMPANY LIMITED
14420,INNOVATIONS SOLUTIONS AND SERVICE COMPANY LIMITED
14443,Institute for Global Environmental Strategies
14444,Institute for small and Medium Enterprises Development
14421,"INTAGE (THAILAND) CO.,LTD."
14422,"INTERCONNECT COMMUNICATION CO., LTD."
14423,INTERCONNECT SOLUTIONS COMPANY LIMITED
15153,international community school
14445,International Schools Association of Thailand
14424,INTHANON PROPERTY MANAGEMENT SYSTEM COMPANY LIMITED
14425,"INVENTECH SYSTEMS (THAILAND) CO.,LTD."
14427,IPLUS DEVELOPMENT COMPANY LIMITED
14428,IRRADIANCE SOLAR COMPANY LIMITED
14429,IS AM ARE DOTNET COMPANY LIMITED
14430,ISLAMIC BANK ASSET MANAGEMENT COMPANY LIMITED
14431,"ISLAND TECHNOLOTY CO., LTD."
14432,"ISOBAR (THAILAND) CO., LTD."
14436,ISUZU MOTORS ASIA (THAILAND) COMPANY LIMITED
26934,IT Essentials Thailand Limited (Head office)
14433,IT GREEN PUBLIC COMPANY LIMITED
14434,ITALIAN - THAI DEVELOPMENT CORPORATION LTD.
14435,"ITOPPLUS CO.,LTD."
14437,"ITTHIRIT NICE CORPORATION CO., LTD."
14438,"ITTIPHAT (CYBER WILD) CO., LTD."
14439,IWCT COMPANY LIMITED
14440,"IZPAN CORPORATION CO., LTD."
14446,"J S L HOLDING CO., LTD."
14447,J-SOFT DEVELOPMENT COMPANY LIMITED
14448,J. PANEL PLUS COMPANY LIMITED
14449,J.I.B. COMPUTER GROUP COMPANY LIMITED
14450,J.S.VISION LTD.
14451,JAGOTA BROTHERS TRADING COMPANY LIMITED
14452,JAPAN SYSTEM (THAILAND) COMPANY LIMITED
14453,JAROENMITR COMPANY LIMITED
14454,JAS ASSET PUBLIC COMPANY LIMITED
14455,JAYMART INSURANCE PUBLIC COMPANY LIMITED
14456,"JEERATHANA KORSRANG CO.,LTD."
14457,JEWEAL PROSOFT COMPANY LIMITED
14458,JK COSMETIC COMPANY LIMITED
14459,"JL CONTROL CO.,LTD."
14460,JNC NONWOVENS (THAILAND) COMPANY LIMITED
14461,JR F & B COMPANY LIMITED
14462,"JSS SOFTWARE SERVICE (THAI) CO.,LTD."
14463,JSSR AUCTION COMPANY LIMITED.
14464,"JU THAI GROUP CO., LTD."
26088,JUMP AI COMPANY LIMITED
14465,"JURUDATA SERVICES CO.,LTD."
14466,"K P N GREEN ENERGY SOLUTION CO.,LTD."
14467,"K,.R.C.TRANSPORT & SERVICE CO.,LTD."
14468,"K-SOFTWARE CO.,LTD."
26131,K.CHAROEN KARN YANG COCKPIT COMPANY LIMITED
14469,K.M. CHEMICAL CORPORATION LIMITED
14470,"K.PERFORMANCE CO., LTD."
14471,"K.U.NOMURA THAI CO., LTD."
14472,"KALEIDO GROUP CO., LTD."
14473,"KANA INTERACTIVE CO., LTD."
14474,KANDA PROPERTY COMPANY LIMITED
14508,Kanokphon Ninsawat
